# Four corners of [0,2000]^2 plus interior scatter
# coords in [0,2000] x [0,2000]
0,0
2000,0
2000,2000
0,2000
307,311
348,384
389,457
430,530
471,603
512,676
553,749
594,822
635,895
676,968
717,1041
758,1114
799,1187
840,1260
881,1333
922,1406
963,1479
1004,1552
1045,1625
1086,1698
1127,371
1168,444
1209,517
1250,590
1291,663
1332,736
1373,809
1414,882
1455,955
1496,1028
1537,1101
1578,1174
1619,1247
1660,1320
301,1393
342,1466
383,1539
424,1612
465,1685
506,358
547,431
588,504
629,577
670,650
711,723
752,796
793,869
834,942
875,1015
916,1088
957,1161
998,1234
1039,1307
1080,1380
1121,1453
1162,1526
1203,1599
1244,1672
1285,345
1326,418
1367,491
1408,564
1449,637
1490,710
1531,783
1572,856
1613,929
1654,1002
1695,1075
336,1148
377,1221
418,1294
459,1367
500,1440
541,1513
582,1586
623,1659
664,332
705,405
746,478
